,ACTION,ACTION,ACTION,ACTION,ACTION,ACTION,ACTION,ACTION,ACTION,ACTION,ACTION,ACTION,ACTION,GOTO,GOTO,GOTO,GOTO,GOTO,GOTO,GOTO,GOTO,GOTO,GOTO,GOTO,GOTO,GOTO,GOTO
,ID,NUMBER,LPAREN,RPAREN,SEMICOLON,ASSIGNOP,LT,EQ,MINUS,DIV,PLUS,TIMES,$,p,t,m,q,a,e,x,z,r,w,y,f,v,j
0,"('shift', 5)",,,,,,,,,,,,,1.0,2.0,3.0,,4.0,,,,,,,,,
1,,,,,,,,,,,,,"('accept', None)",,,,,,,,,,,,,,
2,,,,,,,,,,,,,"('reduce', 1)",,,,,,,,,,,,,,
3,,,,,"('shift', 7)",,,,,,,,"('reduce', 3)",,,,6.0,,,,,,,,,,
4,,,,,"('reduce', 6)",,,,,,,,"('reduce', 6)",,,,,,,,,,,,,,
5,,,,,,"('shift', 8)",,,,,,,,,,,,,,,,,,,,,
6,,,,,,,,,,,,,"('reduce', 2)",,,,,,,,,,,,,,
7,"('shift', 5)",,,,,,,,,,,,,,,9.0,,4.0,,,,,,,,,
8,"('shift', 14)","('shift', 15)","('shift', 16)",,,,,,,,,,,,,,,,10.0,11.0,,12.0,,,13.0,,
9,,,,,"('shift', 7)",,,,,,,,"('reduce', 5)",,,,17.0,,,,,,,,,,
10,,,,,"('reduce', 7)",,,,,,,,"('reduce', 7)",,,,,,,,,,,,,,
11,,,,"('reduce', 9)","('reduce', 9)",,"('shift', 19)","('shift', 20)",,,,,"('reduce', 9)",,,,,,,,18.0,,,,,,
12,,,,"('reduce', 13)","('reduce', 13)",,"('reduce', 13)","('reduce', 13)","('shift', 23)",,"('shift', 24)",,"('reduce', 13)",,,,,,,,,,21.0,22.0,,,
13,,,,"('reduce', 19)","('reduce', 19)",,"('reduce', 19)","('reduce', 19)","('reduce', 19)","('shift', 27)","('reduce', 19)","('shift', 28)","('reduce', 19)",,,,,,,,,,,,,25.0,26.0
14,,,,"('reduce', 26)","('reduce', 26)",,"('reduce', 26)","('reduce', 26)","('reduce', 26)","('reduce', 26)","('reduce', 26)","('reduce', 26)","('reduce', 26)",,,,,,,,,,,,,,
15,,,,"('reduce', 25)","('reduce', 25)",,"('reduce', 25)","('reduce', 25)","('reduce', 25)","('reduce', 25)","('reduce', 25)","('reduce', 25)","('reduce', 25)",,,,,,,,,,,,,,
16,"('shift', 14)","('shift', 15)","('shift', 16)",,,,,,,,,,,,,,,,29.0,11.0,,12.0,,,13.0,,
17,,,,,,,,,,,,,"('reduce', 4)",,,,,,,,,,,,,,
18,,,,"('reduce', 8)","('reduce', 8)",,,,,,,,"('reduce', 8)",,,,,,,,,,,,,,
19,"('shift', 14)","('shift', 15)","('shift', 16)",,,,,,,,,,,,,,,,,30.0,,12.0,,,13.0,,
20,"('shift', 14)","('shift', 15)","('shift', 16)",,,,,,,,,,,,,,,,,31.0,,12.0,,,13.0,,
21,,,,"('reduce', 12)","('reduce', 12)",,"('reduce', 12)","('reduce', 12)",,,,,"('reduce', 12)",,,,,,,,,,,,,,
22,,,,"('reduce', 15)","('reduce', 15)",,"('reduce', 15)","('reduce', 15)","('shift', 23)",,"('shift', 24)",,"('reduce', 15)",,,,,,,,,,32.0,22.0,,,
23,"('shift', 14)","('shift', 15)","('shift', 16)",,,,,,,,,,,,,,,,,,,33.0,,,13.0,,
24,"('shift', 14)","('shift', 15)","('shift', 16)",,,,,,,,,,,,,,,,,,,34.0,,,13.0,,
25,,,,"('reduce', 18)","('reduce', 18)",,"('reduce', 18)","('reduce', 18)","('reduce', 18)",,"('reduce', 18)",,"('reduce', 18)",,,,,,,,,,,,,,
26,,,,"('reduce', 21)","('reduce', 21)",,"('reduce', 21)","('reduce', 21)","('reduce', 21)","('shift', 27)","('reduce', 21)","('shift', 28)","('reduce', 21)",,,,,,,,,,,,,35.0,26.0
27,"('shift', 14)","('shift', 15)","('shift', 16)",,,,,,,,,,,,,,,,,,,,,,36.0,,
28,"('shift', 14)","('shift', 15)","('shift', 16)",,,,,,,,,,,,,,,,,,,,,,37.0,,
29,,,,"('shift', 38)",,,,,,,,,,,,,,,,,,,,,,,
30,,,,"('reduce', 10)","('reduce', 10)",,,,,,,,"('reduce', 10)",,,,,,,,,,,,,,
31,,,,"('reduce', 11)","('reduce', 11)",,,,,,,,"('reduce', 11)",,,,,,,,,,,,,,
32,,,,"('reduce', 14)","('reduce', 14)",,"('reduce', 14)","('reduce', 14)",,,,,"('reduce', 14)",,,,,,,,,,,,,,
33,,,,"('reduce', 17)","('reduce', 17)",,"('reduce', 17)","('reduce', 17)","('reduce', 17)",,"('reduce', 17)",,"('reduce', 17)",,,,,,,,,,,,,,
